Nº	ROTA	CLIENTE	FORNECEDOR	OPERAÇÃO	VALOR	HR FRANQ	KM FRANQ	HR EXTRA	KM EXTRA	PEDÁGIO	STATUS		DATA INICIAL	HORA INICIAL	REF.	ROTA	VIATURA	VEICULO ESCOLTADO	DATA FINAL	HORA FINAL		INICIAL	FINAL	TOTAL		INICIAL	FINAL	TOTAL		KM 	VALOR	TOTAL		HORA	VALOR	TOTAL		ACIONAMENTO	PEDAGIO	REVISÃO	TOTAL CLIENTE		Nº	ROTA	CLIENTE	FORNECEDOR	EQUIPE	VALOR	HR FRANQ	KM FRANQ	HR EXTRA	KM EXTRA	PEDAGIO	SITUAÇÃO												  	FINAL	TOTAL		INICIAL	FINAL	TOTAL		KM 	VALOR	TOTAL		HORA	VALOR	 TOTAL 		ESCOLTA	 PEDÁGIO 	TOTAL FORNECEDOR
3755	CANOAS/RS X CARLOS BARBOSA/RS	IBL	STAR	CARACTERIZADA	 R$928,00 	03:00:00	100	 R$181,33 	 R$7,30 	À PARTE	CONCLUIDO		02/03/2026	05:21:00	SUL	CANOAS/RS X CARLOS BARBOSA/RS	QUF7J47	BEB7E33	02/03/2026	07:56:00		197.052	197.157	105		05:21:00	07:56:00	02:35:00		5	 R$7,30 	 R$36,50 		00:00:00	 R$181,33 	 R$-   		 R$928,00 	 R$ 23,40 	 R$ 987,90 	 R$ 987,90 		3755	CANOAS/RS X CARLOS BARBOSA/RS	IBL	STAR	CARACTERIZADA	 R$ 500,00 	3:00:00	100	 R$90,00 	 R$4,00 	À PARTE	CONCLUIDO		02/03/2026	05:21:00		SC	CANOAS/RS X CARLOS BARBOSA/RS	QUF7J47	BEB7E33	02/03/2026	07:56:00		197.052	197.157	105		05:21:00	07:56:00	02:35:00		5	 R$4,00 	 R$20,00 		00:00:00	 R$90,00 	 R$-   		 R$500,00 	 R$ 23,40 	 R$543,40 
3756	CAMPINAS X CONGONHAS	IBL	COLISEU	CARACTERIZADA	 R$730,00 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CONCLUIDO		02/03/2026	09:00:00	SUDESTE	CAMPINAS X CONGONHAS	SIC-3E46	RFU2F31	02/03/2026	12:16:00		134676	134799	123		09:00:00	12:16:00	03:16:00		23	 R$7,30 	 R$167,90 		00:16:00	 R$168,51 	 R$44,94 		 R$730,00 	 R$ 55,00 	 R$ 997,84 	 R$ 997,84 		3756	CAMPINAS X CONGONHAS	IBL	COLISEU	CARACTERIZADA	 R$ 467,43 	3:00:00	100	 R$102,60 	 R$4,55 	À PARTE	CONCLUIDO		02/03/2026	09:00:00		SP	CAMPINAS X CONGONHAS	SIC-3E46	RFU2F31	02/03/2026	12:16:00		134.676	134.799	123		09:00:00	12:16:00	03:16:00		23	 R$4,55 	 R$104,65 		00:16:00	 R$102,60 	 R$27,36 		 R$467,43 	 R$ 55,00 	 R$654,44 
3757	CAMPINAS X CONGONHAS	IBL	COLISEU	CARACTERIZADA	 R$730,00 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CANCELADA		02/03/2026	13:47:00	SUDESTE	CANCELADA PELO ENCARREGADO 	SIC-3E46	RFU2F31	02/03/2026	14:37:00		134912	134912	0		13:47:00	14:37:00	00:50:00		0	 R$7,30 	 R$-   		00:00:00	 R$168,51 	 R$-   		 R$730,00 		 R$ 730,00 	 R$ 730,00 		3757	CAMPINAS X CONGONHAS	IBL	COLISEU	CARACTERIZADA	 R$ 467,43 	3:00:00	100	 R$102,60 	 R$4,55 	À PARTE	CANCELADA		02/03/2026	13:47:00		SP	CANCELADA PELO ENCARREGADO 	SIC-3E46	RFU2F31	02/03/2026	14:37:00		134.912	134.912	0		13:47:00	14:37:00	00:50:00		0	 R$4,55 	 R$-   		00:00:00	 R$102,60 	 R$-   		 R$467,43 	 R$ -   	 R$467,43 
3758	ITAPEVI X OSASCO	LUFT LOG	CTS	CARACTERIZADA	 R$630,00 	03:00:00	100	 R$159,00 	 R$6,30 	À PARTE	CONCLUIDO		02/03/2026	05:00:00		ITAPEVI X OSASCO	FJC0E74	DBB9082	02/03/2026	08:16:00		218.958	218.986	28		05:00:00	08:16:00	03:16:00		0	 R$6,30 	 R$-   		00:16:00	 R$159,00 	 R$42,40 		 R$630,00 	 R$ 11,20 	 R$ 683,60 	 R$ 683,60 		3758	ITAPEVI X OSASCO	LUFT LOG	CTS	CARACTERIZADA	 R$ 480,15 	3:00:00	100	 R$106,70 	 R$4,80 	À PARTE	CONCLUIDO		02/03/2026	05:00:00		SP	ITAPEVI X OSASCO	FJC0E74	DBB9082	02/03/2026	08:16:00		218.958	218.986	28		05:00:00	08:16:00	03:16:00		0	 R$4,80 	 R$-   		00:16:00	 R$106,70 	 R$28,45 		 R$480,15 	 R$ 11,20 	 R$519,80 
3759	ITAPEVI X GUARULHOS	LUFT LOG	CTS	CARACTERIZADA	 R$630,00 	03:00:00	100	 R$159,00 	 R$6,30 	À PARTE	CONCLUIDO		02/03/2026	05:00:00		ITAPEVI X GUARULHOS	FRP6E81	CXA7B40	02/03/2026	08:23:00		267.279	267.415	136		05:00:00	08:23:00	03:23:00		36	 R$6,30 	 R$226,80 		00:23:00	 R$159,00 	 R$60,95 		 R$630,00 	 R$ 11,20 	 R$ 928,95 	 R$ 928,95 		3759	ITAPEVI X GUARULHOS	LUFT LOG	CTS	CARACTERIZADA	 R$ 480,15 	3:00:00	100	 R$106,70 	 R$4,80 	À PARTE	CONCLUIDO		02/03/2026	05:00:00		SP	ITAPEVI X GUARULHOS	FRP6E81	CXA7B40	02/03/2026	08:23:00		267.279	267.415	136		05:00:00	08:23:00	03:23:00		36	 R$4,80 	 R$172,80 		00:23:00	 R$106,70 	 R$40,90 		 R$480,15 	 R$ 11,20 	 R$705,05 
3760	ITAPEVI X GUARULHOS	LUFT LOG	CTS	CARACTERIZADA	 R$630,00 	03:00:00	100	 R$159,00 	 R$6,30 	À PARTE	CONCLUIDO		02/03/2026	05:00:00		ITAPEVI X GUARULHOS	SSS7D48	SRS1C13	02/03/2026	08:18:00		236.994	237.129	135		05:00:00	08:18:00	03:18:00		35	 R$6,30 	 R$220,50 		00:18:00	 R$159,00 	 R$47,70 		 R$630,00 	 R$ 11,20 	 R$ 909,40 	 R$ 909,40 		3760	ITAPEVI X GUARULHOS	LUFT LOG	CTS	CARACTERIZADA	 R$ 480,15 	3:00:00	100	 R$106,70 	 R$4,80 	À PARTE	CONCLUIDO		02/03/2026	05:00:00		SP	ITAPEVI X GUARULHOS	SSS7D48	SRS1C13	02/03/2026	08:18:00		236.994	237.129	135		05:00:00	08:18:00	03:18:00		35	 R$4,80 	 R$168,00 		00:18:00	 R$106,70 	 R$32,01 		 R$480,15 	 R$ 11,20 	 R$691,36 
3761	PIRAPORA DO BOM JESUS  X  SUZANO/SP	CESARI	DOMAIN	CARACTERIZADA	 R$769,82 	03:00:00	110	 R$163,30 	 R$7,00 	À PARTE	CONCLUIDO		02/03/2026	10:00:00	PBJ068-2026 - DIFIL	PIRAPORA DO BOM JESUS  X  SUZANO/SP	UED5C46	FHO1G91	02/03/2026	15:16:00		3.282	3.384	102		10:00:00	15:16:00	05:16:00		0	 R$7,00 	 R$-   		02:16:00	 R$163,30 	 R$489,90 		 R$769,82 	 R$ 11,30 	 R$ 1.271,02 	 R$ 1.271,02 		3761	PIRAPORA DO BOM JESUS  X  SUZANO/SP	CESARI	DOMAIN	CARACTERIZADA	 R$ 450,00 	4:00:00	110	 R$95,00 	 R$4,50 	À PARTE	CONCLUIDO		02/03/2026	10:00:00		SP	PIRAPORA DO BOM JESUS  X  SUZANO/SP	UED5C46	FHO1G91	02/03/2026	15:16:00		3.282	3.384	102		10:00:00	15:16:00	05:16:00		0	 R$4,50 	 R$-   		01:16:00	 R$95,00 	 R$120,33 		 R$450,00 	 R$ 11,30 	 R$581,63 
3762	IBL MATRIZ X CAMPINAS (OP. GOVERNO)	IBL	DOMAIN	CARACTERIZADA	 R$730,00 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CANCELADA		02/03/2026	08:27:00	SUDESTE	CANCELADA PELO ENCARREGADO 		RUH3I30	02/03/2026	09:08:00				0		08:27:00	09:08:00	00:41:00		0	 R$7,30 	 R$-   		00:00:00	 R$168,51 	 R$-   		 R$730,00 	 R$ 55,00 	 R$ 785,00 	 R$ 785,00 		3762	IBL MATRIZ X CAMPINAS (OP. GOVERNO)	IBL	DOMAIN	CARACTERIZADA	 R$ 450,00 	3:00:00	100	 R$95,00 	 R$4,50 	À PARTE	CANCELADA		02/03/2026	08:27:00		SP	CANCELADA PELO ENCARREGADO 	00:00:00	RUH3I30	02/03/2026	09:08:00		0	0	0		08:27:00	09:08:00	00:41:00		0	 R$4,50 	 R$-   		00:00:00	 R$95,00 	 R$-   		 R$450,00 	 R$ 55,00 	 R$505,00 
3763	URBANO PALHOÇA	IBL	BAZISUL	CARACTERIZADA	 R$1.250,00 	03:00:00	100	 R$179,00 	 R$8,00 	À PARTE	CONCLUIDO		02/03/2026	12:21:00	SUL	URBANO PALHOÇA	SXI5H20	SXM0G99	02/03/2026	13:18:00		106.681	106.690	9		12:21:00	13:18:00	00:57:00		0	 R$8,00 	 R$-   		00:00:00	 R$179,00 	 R$-   		 R$1.250,00 	 R$ -   	 R$ 1.250,00 	 R$ 1.250,00 		3763	URBANO PALHOÇA	IBL	BAZISUL	CARACTERIZADA	 R$ 450,00 	4:00:00	110	 R$90,00 	 R$4,00 	À PARTE	CONCLUIDO		02/03/2026	12:21:00		SC	URBANO PALHOÇA	SXI5H20	SXM0G99	02/03/2026	13:18:00		106.681	106.690	9		12:21:00	13:18:00	00:57:00		0	 R$4,00 	 R$-   		00:00:00	 R$90,00 	 R$-   		 R$450,00 	 R$ -   	 R$-   
3764	URBANO BA 	IBL	IMPERIO	CARACTERIZADA	 R$1.057,00 	03:00:00	100	 R$181,33 	 R$7,30 	À PARTE	CONCLUIDO		02/03/2026	14:00:00		URBANO BA 	SDP5I65	RCX9J23	02/03/2026	16:52:00		131.474	131.491	17		14:00:00	16:52:00	02:52:00		0	 R$7,30 	 R$-   		00:00:00	 R$181,33 	 R$-   		 R$1.057,00 	 R$ 7,70 	 R$ 1.064,70 	 R$ 1.064,70 		3764	URBANO BA 	IBL	IMPERIO	CARACTERIZADA	 R$ 450,00 	03:00	100	 R$100,00 	 R$4,50 	À PARTE	CONCLUIDO		02/03/2026	14:00:00		SP	URBANO BA 	SDP5I65	RCX9J23	02/03/2026	16:52:00		131.474	131.491	17		14:00:00	16:52:00	02:52:00		0	 R$4,50 	 R$-   		00:00:00	 R$100,00 	 R$-   		 R$450,00 	 R$ 7,70 	 R$457,70 
